meter_code,type,fab,fab_group,meter_name,wisdom_batch_id
MP167,照明插座,Fab2,Fab12,照明,20220519095229_02e064cd16a944128c90118f8081c77e
MP153,照明插座,Fab2,Fab12,一層照明,20220519095229_02e064cd16a944128c90118f8081c77e
MP135,空壓用電,Fab2,Fab12,Fab2棟3#,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP256(FAB2)2F-TDB-18,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP121（空壓機1#),空壓用電,Fab3,Fab3,空壓機1#,20220519095229_02e064cd16a944128c90118f8081c77e
MP444（更衣室照明與FFU),,Fab3,Fab3,照明及FFU總盤,20220519095229_02e064cd16a944128c90118f8081c77e
MP262,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP362,純水用電,Fab2,Fab12,純水,20220519095229_02e064cd16a944128c90118f8081c77e
LP1-1,照明插座,Fab3,Fab3,照明,20220519095229_02e064cd16a944128c90118f8081c77e
ZP1-14,製程用電,Fab3,Fab3,1F無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP51,,Fab3,Fab3,,20220519095229_02e064cd16a944128c90118f8081c77e
MP554,製程用電,Fab2,Fab12,3F設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP23（空壓機2#),空壓用電,Fab3,Fab3,空壓機2#,20220519095229_02e064cd16a944128c90118f8081c77e
2ATR3,製程用電,Fab1,Fab12,A棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP244(FAB2)2F-TDB-13,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP284(FAB2)3F-EPDP-MP1,空調用電,Fab2,Fab12,3F FFU,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP255(FAB2)2F-TDB-17,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP463,真空排氣,Fab2,Fab12,真空,20220519095229_02e064cd16a944128c90118f8081c77e
2FMP22,空調用電,Fab2,Fab12,2F空調,20220519095229_02e064cd16a944128c90118f8081c77e
MP161,基礎用電,Fab2,Fab12,潛伏泵,20220519095229_02e064cd16a944128c90118f8081c77e
