meter,type,fab,fab_group,meter_name
UPS-LP3-2,空調用電,Fab3,Fab3,3F車間FFU
MP441（2#冰機),空調用電,Fab3,Fab3,冰機2#
MP442（1#冰機),空調用電,Fab3,Fab3,冰機1#
MP242,製程用電,Fab2,Fab12,2F設備
DB_MP545(FAB2)DT4,基礎用電,Fab2,Fab12,電梯
3FMP13,空調用電,Fab2,Fab12,3F空調
2A T05,製程用電,Fab1,Fab12,A棟設備
MP356,製程用電,Fab2,Fab12,3F脫泡室
ACP1-2-1(4#)1F MAU機房,空調用電,Fab3,Fab3,None
MP534,空調用電,Fab2,Fab12,空調水泵
MP551（冷卻水泵),空調用電,Fab3,Fab3,冷卻塔，冷卻水泵
ZP3-6（TR3#）無塵室設備,製程用電,Fab3,Fab3,3F無塵室設備
ACP1-2-2(4#)1F MAU機房,空調用電,Fab3,Fab3,None
1A T02,製程用電,Fab1,Fab12,A棟設備
K104(TR1),高壓變壓器,Fab3,Fab3,高壓變壓器1
變壓器,製程用電,Fab1,Fab12,A棟設備
DB_MP144(FAB2)B1MAC1,空調用電,Fab2,Fab12,1F空調
UPS-LP3-1（TR1ZAP1),照明插座,Fab3,Fab3,應急照明
DB_MP444(FAB2)CDA1,空壓用電,Fab2,Fab12,Fab2棟1#
DB_MP553(FAB2)DPY,空壓用電,Fab2,Fab12,吸乾機
MP162,空調用電,Fab2,Fab12,1F FFU
ZP1-6,製程用電,Fab3,Fab3,1F無塵室設備
MP541(無塵室設備),製程用電,Fab3,Fab3,ZP1-15無塵室設備
DB_MP266(FAB2)ML21,照明插座,Fab2,Fab12,照明
PE231,製程用電,Fab1,Fab12,A棟設備
DB_MP462(FAB2)BIPI,空調用電,Fab2,Fab12,空調水泵
MP552(熱水泵),空調用電,Fab3,Fab3,熱水泵，幹盤管泵，真空泵
DB_MP358(FAB2)3F-TDB-18,製程用電,Fab2,Fab12,Fab2棟設備
1A Fab2US2,製程用電,Fab1,Fab12,A棟設備
DB_MP167(FAB2)ML12,照明插座,Fab2,Fab12,照明
MP264,基礎用電,Fab2,Fab12,電梯
ZP1-13,製程用電,Fab3,Fab3,1F無塵室設備
MP553,空壓用電,Fab2,Fab12,吸乾機
MP441,空壓用電,Fab2,Fab12,Fab2棟2#
K109(TR6),高壓變壓器,Fab3,Fab3,高壓變壓器6
3FMP12,空調用電,Fab2,Fab12,3F空調
北加濕,空調用電,Fab1,Fab12,A棟設備
MP545,基礎用電,Fab2,Fab12,電梯
ＰＥ２Ｆ－１,製程用電,Fab1,Fab12,A棟設備
1#空壓機,空壓用電,Fab1,Fab12,A棟1#
ＰＡＣ２Ｆ－R1,製程用電,Fab1,Fab12,A棟設備
DB_MP362(FAB2)DIW,純水用電,Fab2,Fab12,純水4
DB_MP354(FAB2)3F-TDB-17,製程用電,Fab2,Fab12,Fab2棟設備
MP351,製程用電,Fab2,Fab12,3F設備
MP168,照明插座,Fab2,Fab12,照明
MP266,照明插座,Fab2,Fab12,照明
ZP3-2,製程用電,Fab3,Fab3,3F無塵室設備
MP556,空調用電,Fab2,Fab12,水塔
DB_MP548(FAB2)DIW,純水用電,Fab2,Fab12,純水2
MP432,空壓用電,Fab2,Fab12,MP432
